Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Mass code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
22,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2.0,Mean,N,,25.0,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,22,200,0.43,6.00,1.53E-03,9.35E-04,2.68E-03,1.22E-01,3.30E-02,2.01E-01,
23,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2.0,Mean,N,,30.0,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,23,200,0.50,7.99,2.39E-03,1.77E-03,3.46E-03,1.27E-01,8.22E-02,1.71E-01,
24,Hoque et al 2010 UNIV J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2.0,Mean,N,,35.0,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,24,200,0.47,22.27,2.14E-03,1.50E-03,3.42E-03,1.05E-01,4.96E-02,1.68E-01,
25,El-Basha et al 2012 J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,4th instar,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,24,26.0,,1,1.77E+00,,2.33E-01,% adult mass,3,2.11E-03,Alternate species length,2,m^2 per pred per day,25,200,0.16,294.29,1.83E-04,1.16E-04,5.27E-04,1.73E-02,7.52E-03,2.93E-02,
26,El-Basha et al 2012 J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,5th instar,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,24,26.0,,1,1.77E+00,,,,,2.11E-03,Alternate species length,2,m^2 per pred per day,26,200,0.17,310.74,2.03E-04,1.26E-04,4.76E-04,1.43E-02,5.69E-03,2.49E-02,
27,El-Basha et al 2012 J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult male,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,24,26.0,,1,1.77E+00,,3.66E-01,Average genus mass,4,2.11E-03,Alternate species length,2,m^2 per pred per day,27,200,0.20,289.27,1.48E-04,9.01E-05,3.04E-04,1.50E-02,2.60E-03,2.69E-02,
28,El-Basha et al 2012 J ENTOMOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult female,3.0,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2.0,Mean,N,24,26.0,,1,1.77E+00,,3.66E-01,Average genus mass,4,2.11E-03,Alternate species length,2,m^2 per pred per day,28,200,0.17,325.09,2.30E-04,1.44E-04,5.55E-04,1.27E-02,5.46E-03,2.15E-02,
29,Rocha and Redaelli 2004 BRAZ J BIOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Cosmoclopius nigroannulatus,Adult female (newly emerged),3.0,Metazoan,Invertebrate,Insect,Hemiptera,,Spartocera dentiventris,1st instar,2.0,Raw data,N,,27.0,,1,1.33E+02,1.19E+03,4.01E+02,Alternate family length,2,2.37E+00,% adult mass,2,m^2.5 per pred per day,29,200,0.44,86.87,5.30E-03,3.84E-03,7.70E-03,6.94E-02,4.81E-02,8.72E-02,
30,Rocha and Redaelli 2004 BRAZ J BIOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Cosmoclopius nigroannulatus,Adult male (newly emerged),3.0,Metazoan,Invertebrate,Insect,Hemiptera,,Spartocera dentiventris,1st instar,2.0,Raw data,N,,27.0,,1,1.33E+02,1.19E+03,4.01E+02,Alternate family length,1,2.37E+00,% adult mass,2,m^2.5 per pred per day,30,200,0.39,46.73,2.68E-03,1.41E-03,5.39E-03,9.92E-02,3.40E-02,1.57E-01,
31,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3.00,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,N,24,14.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,31,200,0.82,104.25,1.73E-06,1.13E-06,2.31E-06,2.01E-02,8.80E-03,2.74E-02,
