Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Mass code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1
1568,Sørnes and Aksnes 2004 LIMNOLOGY AND OCEANOGRAPHY,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Perciformes,Gobiusculus flavescens,"Adult, males",,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia sp.,Nauplii,,Mean,N,,12.0,,1,,3.24E+04,7.34E+02,Original species length,1,8.45E-02,Alternate species length,1,m^3 per pred per day,1568,200,0.75,753.14,2.29E+00,1.44E+00,3.44E+00,2.58E-05,2.10E-05,3.25E-05,
1569,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca fluviatilis,Wild caught,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Adult?,2.0,Mean,N,,18.0,,2,,9.00E+04,1.22E+04,Original species length,9,8.16E-01,Average species mass,22,m^3 per pred per day,1569,200,0.36,586.76,2.37E+02,1.29E+02,7.29E+02,1.25E-05,1.13E-05,1.40E-05,10lux
1570,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Gymnocephalus cernua,Wild caught,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Adult?,2.0,Mean,N,,18.0,,2,,9.00E+04,1.50E+04,Original species length,1,8.16E-01,Average species mass,22,m^3 per pred per day,1570,200,0.29,538.16,6.75E+01,3.37E+01,1.19E+02,3.99E-05,3.16E-05,5.00E-05,10lux
1571,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca fluviatilis,Wild caught,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Adult?,2.0,Mean,N,,18.0,,2,,9.00E+04,1.22E+04,Original species length,9,8.16E-01,Average species mass,22,m^3 per pred per day,1571,200,0.38,577.10,2.29E+02,1.47E+02,4.16E+02,1.55E-05,1.38E-05,1.71E-05,1lux
1572,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Gymnocephalus cernua,Wild caught,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Adult?,2.0,Mean,N,,18.0,,2,,9.00E+04,1.50E+04,Original species length,1,8.16E-01,Average species mass,22,m^3 per pred per day,1572,200,0.38,538.86,6.50E+01,3.57E+01,1.18E+02,3.38E-05,2.80E-05,4.04E-05,1lux
1573,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca fluviatilis,Wild caught,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Adult?,2.0,Mean,N,,18.0,,2,,9.00E+04,1.22E+04,Original species length,9,8.16E-01,Average species mass,22,m^3 per pred per day,1573,200,0.37,506.14,1.41E+01,4.96E+00,3.41E+01,6.20E-05,3.09E-05,8.67E-05,0.02lux
1574,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Gymnocephalus cernua,Wild caught,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Adult?,2.0,Mean,N,,18.0,,2,,9.00E+04,1.50E+04,Original species length,1,8.16E-01,Average species mass,22,m^3 per pred per day,1574,200,0.67,480.27,7.83E+00,5.50E+00,1.12E+01,4.96E-05,3.81E-05,5.99E-05,0.02lux
1575,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca fluviatilis,Wild caught,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Adult?,2.0,Mean,N,,18.0,,2,,9.00E+04,1.22E+04,Original species length,9,8.16E-01,Average species mass,22,m^3 per pred per day,1575,200,0.39,439.91,2.60E+00,8.18E-01,2.23E+02,2.44E-04,4.00E-05,4.84E-04,0lux
1576,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Gymnocephalus cernua,Wild caught,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,Water flea,Daphnia magna,Adult?,2.0,Mean,N,,18.0,,2,,9.00E+04,1.50E+04,Original species length,1,8.16E-01,Average species mass,22,m^3 per pred per day,1576,200,0.31,470.00,9.79E+00,5.29E+00,2.22E+01,1.37E-04,1.15E-04,1.81E-04,0lux
1577,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca fluviatilis,Wild caught,,Metazoan,Invertebrate,Insect,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,,Mean,N,,18.0,,2,,9.00E+04,1.22E+04,Original species length,9,8.69E+00,Alternate species length,1,m^3 per pred per day,1577,200,0.42,595.46,8.77E+01,5.35E+01,2.04E+02,1.19E-05,9.21E-06,1.62E-05,10lux
1578,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Gymnocephalus cernua,Wild caught,,Metazoan,Invertebrate,Insect,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,,Mean,N,,18.0,,2,,9.00E+04,1.50E+04,Original species length,1,8.69E+00,Alternate species length,1,m^3 per pred per day,1578,200,0.54,538.93,1.40E+01,7.24E+00,2.46E+01,2.58E-05,8.71E-06,4.29E-05,10lux
1579,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca fluviatilis,Wild caught,,Metazoan,Invertebrate,Insect,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,,Mean,N,,18.0,,2,,9.00E+04,1.22E+04,Original species length,9,8.69E+00,Alternate species length,1,m^3 per pred per day,1579,200,0.30,567.34,1.65E+02,8.85E+01,4.95E+02,1.69E-05,1.42E-05,2.02E-05,1lux
1580,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Gymnocephalus cernua,Wild caught,,Metazoan,Invertebrate,Insect,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,,Mean,N,,18.0,,2,,9.00E+04,1.50E+04,Original species length,1,8.69E+00,Alternate species length,1,m^3 per pred per day,1580,200,0.48,518.42,1.74E+01,9.05E+00,4.24E+01,4.20E-05,2.11E-05,6.57E-05,1lux
1581,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca fluviatilis,Wild caught,,Metazoan,Invertebrate,Insect,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,,Mean,N,,18.0,,2,,9.00E+04,1.22E+04,Original species length,9,8.69E+00,Alternate species length,1,m^3 per pred per day,1581,200,0.40,487.78,5.12E+01,2.99E+01,9.18E+01,6.88E-05,6.19E-05,7.57E-05,0.02lux
1582,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Gymnocephalus cernua,Wild caught,,Metazoan,Invertebrate,Insect,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,,Mean,N,,18.0,,2,,9.00E+04,1.50E+04,Original species length,1,8.69E+00,Alternate species length,1,m^3 per pred per day,1582,200,0.47,493.63,2.81E+01,1.48E+01,6.20E+01,5.72E-05,4.49E-05,7.14E-05,0.02lux
1583,Bergman 1988 J OF ANIMAL ECOLOGY,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Gymnocephalus cernua,Wild caught,,Metazoan,Invertebrate,Insect,Chaoboridae,Phantom midge,Chaoborus obscuripes,Adult?,,Mean,N,,18.0,,2,,9.00E+04,1.50E+04,Original species length,1,8.69E+00,Alternate species length,1,m^3 per pred per day,1583,200,0.69,481.03,6.01E+00,3.87E+00,1.23E+01,4.63E-05,2.23E-05,8.01E-05,0lux
1584,Anderson et al 1978 J ANIM ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Danio rerio,Adult?,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Adult?,2.0,Mean,N,1,24.5,,,,4.00E+02,2.91E+02,Alternate species length,1,8.16E-01,Average species mass,22,m^3 per pred per day,1584,200,0.88,193.59,4.20E-02,3.06E-02,5.92E-02,2.56E-04,2.05E-04,3.13E-04,
1585,Anderson et al 1978 J ANIM ECOL,Predator,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Danio rerio,Adult?,3.0,Metazoan,Invertebrate,Crustacean,Cladoceran,,Daphnia magna,Adult?,2.0,Mean,N,24,24.5,,,,4.00E+02,2.91E+02,Alternate species length,1,9.90E-01,Average species mass,,m^3 per pred per day,1585,200,0.87,419.63,4.23E-02,3.54E-02,4.95E-02,1.41E-04,1.22E-04,1.61E-04,
1586,Gulbrandsen 1991 AQUACULTURE,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Pleuronectiformes,Hippoglossus hippoglossus,Larvae,3.0,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus plicatilis,Adult?,2.0,Mean,Y,,12.0,,50,,2.50E+04,1.77E+00,Alternate species length,1,2.76E-03,Alternate species length,1,m^3 per pred per day,1586,200,0.25,338.62,8.89E-03,5.80E-03,1.35E-02,1.77E-01,7.93E-02,2.76E-01,Experiment 1
1587,Gulbrandsen 1991 AQUACULTURE,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Pleuronectiformes,Hippoglossus hippoglossus,Larvae,3.0,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus plicatilis,Adult?,2.0,Mean,Y,,12.0,,50,,2.50E+04,1.77E+00,Alternate species length,1,2.76E-03,Alternate species length,1,m^3 per pred per day,1587,200,0.26,646.16,8.58E-03,6.58E-03,1.08E-02,1.43E-01,1.11E-01,1.92E-01,Experiment 2
1588,Gulbrandsen 1991 AQUACULTURE,Predator,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Pleuronectiformes,Hippoglossus hippoglossus,Larvae,3.0,Metazoan,Invertebrate,Rotifer,,Rotifer,Brachionus plicatilis,Adult?,2.0,Mean,Y,,12.0,,50,,2.50E+04,1.77E+00,Alternate species length,1,2.76E-03,Alternate species length,1,m^3 per pred per day,1588,200,0.31,814.21,8.42E-03,5.75E-03,1.08E-02,6.62E-02,2.09E-02,1.09E-01,Experiment 3
1589,Lyon et al 2018 FOOD WEBS,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Hogna baltimoriana,Wild caught female,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Adult,,Raw data,N,,23.0,,1,4.91E+02,,2.20E+02,Original species mass,1,4.30E+01,Average species mass,4,m^2 per pred per day,1589,200,0.07,79.68,1.02E-01,2.83E-02,8.89E-01,1.31E-01,4.33E-02,2.18E-01,
1590,Lyon et al 2018 FOOD WEBS,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Hogna baltimoriana,Wild caught male,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Adult,,Raw data,N,,23.0,,1,4.91E+02,,2.20E+02,Original species mass,1,4.30E+01,Average species mass,4,m^2 per pred per day,1590,200,0.32,28.41,1.54E-02,6.35E-03,1.63E-01,1.87E-08,3.62E-10,2.05E-01,
1591,Lyon et al 2018 FOOD WEBS,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Hogna baltimoriana,Wild caught female,,Metazoan,Invertebrate,Insect,Orthoptera,Grasshopper,Caelifera,Wild caught,,Raw data,N,,23.0,,1,4.91E+02,,2.20E+02,Original species mass,1,2.00E+01,Original species mass,1,m^2 per pred per day,1591,200,0.37,92.37,1.14E-01,5.58E-02,2.15E-01,2.11E-02,8.40E-09,4.06E-02,
1592,Lyon et al 2018 FOOD WEBS,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Hogna baltimoriana,Wild caught male,,Metazoan,Invertebrate,Insect,Orthoptera,Grasshopper,Caelifera,Wild caught,,Raw data,N,,23.0,,1,4.91E+02,,2.20E+02,Original species mass,1,2.00E+01,Original species mass,1,m^2 per pred per day,1592,200,0.44,70.18,9.03E-02,5.17E-02,2.64E-01,1.77E-02,9.44E-10,4.25E-02,
1593,Walker and Rypstra 2002 CAN J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Tigrosa helluo (Hogna helluo),Adult female,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Small adult,,Mean,N,168,25.0,,1,8.17E+01,,3.67E+01,Original species mass,1,1.10E+01,Original species mass,2,m^2 per pred per day,1593,200,0.89,-36.04,3.06E-03,2.72E-03,4.14E-03,1.61E-09,5.15E-10,9.43E-02,Walker and Rypstra says prey are 20-40% pred mass. Used to calc pred mass
1594,Walker and Rypstra 2002 CAN J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Tigrosa helluo (Hogna helluo),Adult male,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Small adult,,Mean,N,168,25.0,,1,8.17E+01,,3.67E+01,Original species mass,1,1.10E+01,Original species mass,2,m^2 per pred per day,1594,200,0.04,-50.97,1.10E-02,2.84E-03,1.07E-01,2.29E+00,1.63E+00,3.52E+00,Walker and Rypstra says prey are 20-40% pred mass. Used to calc pred mass
1595,Walker and Rypstra 2002 CAN J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa milvina,Adult female,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Large adult,,Mean,N,168,25.0,,1,4.13E+01,,2.50E+02,Alternate species mass,1,7.50E+01,Original species mass,3,m^2 per pred per day,1595,200,0.54,-4.76,5.39E-03,3.33E-03,9.56E-03,2.12E-01,1.04E-01,3.95E-01,Walker and Rypstra says prey are 20-40% pred mass. Used to calc pred mass
1596,Walker and Rypstra 2002 CAN J ZOOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa milvina,Adult male,,Metazoan,Invertebrate,Insect,Orthoptera,House cricket,Acheta domesticus,Large adult,,Mean,N,168,25.0,,1,4.13E+01,,2.50E+02,Alternate species mass,2,7.50E+01,Original species mass,3,m^2 per pred per day,1596,200,0.07,-10.36,3.92E-03,1.02E-03,4.27E-02,9.77E-01,2.98E-01,1.56E+00,Walker and Rypstra says prey are 20-40% pred mass. Used to calc pred mass
1597,Denno et al 2003 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Planthopper,Prokelisia marginata,Brachypter adult,2.0,Mean,N,48,,,1,4.42E+01,1.33E+03,3.25E+01,Original species mass,1,4.67E-01,Original speices length,1,m^2.5 per pred per day,1597,200,0.94,78.01,5.18E-03,4.86E-03,5.50E-03,6.81E-10,2.78E-10,1.55E-03,
1598,Denno et al 2003 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Planthopper,Prokelisia marginata,Macropter adult,2.0,Mean,N,48,,,1,4.42E+01,1.33E+03,3.25E+01,Original species mass,1,4.67E-01,Original speices length,1,m^2.5 per pred per day,1598,200,0.95,69.44,6.06E-03,5.53E-03,6.75E-03,4.78E-03,3.48E-03,6.25E-03,
1599,Denno et al 2003 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Planthopper,Prokelisia dolus,Brachypter adult,2.0,Mean,N,48,,,1,4.42E+01,1.33E+03,3.25E+01,Original species mass,1,4.11E-01,Original speices length,2,m^2.5 per pred per day,1599,200,0.92,81.13,6.81E-03,6.08E-03,7.66E-03,4.97E-03,3.32E-03,6.69E-03,
1600,Denno et al 2003 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Planthopper,Prokelisia dolus,Macropter adult,2.0,Mean,N,48,,,1,4.42E+01,1.33E+03,3.25E+01,Original species mass,1,4.11E-01,Original speices length,2,m^2.5 per pred per day,1600,200,0.94,69.55,5.78E-03,5.15E-03,6.40E-03,5.55E-03,3.64E-03,7.39E-03,
1601,Denno et al 2003 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Planthopper,Prokelisia marginata,Adult,2.0,Mean,N,48,,,1,4.42E+01,1.33E+03,3.25E+01,Original species mass,1,4.67E-01,Original speices length,1,m^2.5 per pred per day,1601,200,0.77,29.15,6.15E-03,4.83E-03,7.82E-03,3.08E-02,2.01E-02,4.52E-02,
1602,Denno et al 2003 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Planthopper,Delphacodes penedetecta,Adult,2.0,Mean,N,48,,,1,4.42E+01,1.33E+03,3.25E+01,Original species mass,1,6.61E-01,Original speices length,1,m^2.5 per pred per day,1602,200,0.45,19.06,5.35E-03,3.27E-03,1.27E-02,9.54E-02,6.27E-02,1.38E-01,
1603,Denno et al 2003 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Leafhopper,Sanctanus aestuarium,Adult,2.0,Mean,N,48,,,1,4.42E+01,1.33E+03,3.25E+01,Original species mass,1,1.98E+00,Original speices length,1,m^2.5 per pred per day,1603,200,0.38,-0.97,3.14E-03,1.56E-03,1.11E-02,2.26E-01,1.67E-01,3.08E-01,
1604,Denno et al 2003 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult female,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Mirid bug,Trigonotylus uhleri,Adult,2.0,Mean,N,48,,,1,4.42E+01,1.33E+03,3.25E+01,Original species mass,1,5.05E+00,Original speices length,1,m^2.5 per pred per day,1604,200,0.37,15.14,1.14E-02,6.27E-03,2.83E-02,9.82E-02,7.68E-02,1.30E-01,
1605,Finke and Denno 2002 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult?,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Planthopper,Prokelisia dolus,Adult?,2.0,Mean,N,,,,1,3.12E+01,1.33E+03,3.25E+01,Alternate species mass,1,8.17E-01,Original speices length,1,m^2.5 per pred per day,1605,200,0.54,75.35,1.46E-03,1.23E-03,1.88E-03,5.35E-08,5.26E-09,7.00E-02,
1606,Finke and Denno 2002 ECOLOGY,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa littoralis,Adult?,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Mirid bug,Tytthus vagus,Adult?,2.0,Mean,N,,,,1,3.12E+01,1.33E+03,3.25E+01,Alternate species mass,1,1.37E+00,Original speices length,1,m^2.5 per pred per day,1606,200,0.67,118.88,3.91E-03,3.16E-03,4.98E-03,1.94E-02,1.87E-09,5.07E-02,
1607,Hardman and Turnbull 1974 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa vancouveri,Wild caught adult male,,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,Adult female vestigial-winged,,Raw data,Y,144,23.0,,1,2.71E+02,,1.01E+01,Alternate order length,1,9.38E-01,Average species mass,6,m^2 per pred per day,1607,200,0.66,-14.38,3.35E-01,4.97E-02,7.12E-01,1.33E-01,9.73E-02,1.62E-01,"Arena size is surface area of all surfaces, not just bottom"
1608,Hardman and Turnbull 1974 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa vancouveri,Wild caught adult female,,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,Adult female vestigial-winged,,Raw data,Y,144,23.0,,1,2.71E+02,,1.01E+01,Alternate order length,1,9.38E-01,Average species mass,6,m^2 per pred per day,1608,200,0.89,-18.11,2.82E-01,1.32E-01,6.35E-01,4.37E-02,2.92E-02,6.72E-02,"Arena size is surface area of all surfaces, not just bottom"
1609,Hardman and Turnbull 1974 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa vancouveri,Wild caught subadult female,,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,Adult female vestigial-winged,,Raw data,Y,144,23.0,,1,2.71E+02,,1.01E+01,Alternate order length,1,9.38E-01,Average species mass,6,m^2 per pred per day,1609,200,0.83,-14.11,3.16E-02,1.52E-02,6.39E-02,2.15E-01,1.95E-12,2.72E-01,"Arena size is surface area of all surfaces, not just bottom"
1610,Hardman and Turnbull 1974 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa vancouveri,Wild caught adult female,,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,Adult female vestigial-winged,,Raw data,Y,0,23.0,,1,4.05E+02,,1.01E+01,Alternate order length,1,9.38E-01,Average species mass,6,m^2 per pred per day,1610,200,0.61,-3.12,6.78E-02,2.14E-02,5.98E-01,7.66E-02,1.94E-11,1.11E-01,"Arena size is surface area of all surfaces, not just bottom. Includes 5 sides of sponge"
1611,Hardman and Turnbull 1974 J ANIM ECOL,Predator,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Pardosa vancouveri,Wild caught subadult female,,Metazoan,Invertebrate,Insect,Diptera,Fruit fly,Drosophila melanogaster,Adult female vestigial-winged,,Raw data,Y,0,23.0,,1,4.05E+02,,1.01E+01,Alternate order length,1,9.38E-01,Average species mass,6,m^2 per pred per day,1611,200,0.65,-16.51,5.85E-02,3.07E-02,9.38E-01,2.02E-01,9.61E-02,2.36E-01,"Arena size is surface area of all surfaces, not just bottom. Includes 5 sides of sponge"
1612,Provencher and Coderre 1987 ENVIRON ENTOMOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Clubiona pikei,Wild caught juvenile,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Bird cherry-oat aphid,Rhopalosiphum padi,Apterous immature,2.0,Raw data,N,24,22.0,,1,,5.00E+02,1.01E+01,Alternate order length,2,1.63E-01,% adult mass,1,m^2.5 per pred per day,1612,200,0.55,66.53,6.71E-04,3.31E-04,8.96E-04,2.21E-09,2.90E-10,8.55E-09,500 mL jar used as arena
1613,Provencher and Coderre 1987 ENVIRON ENTOMOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Clubiona pikei,Wild caught juvenile,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Corn leaf aphid,Rhopalosiphum maidis,Apterous immature,2.0,Raw data,N,24,22.0,,1,,5.00E+02,1.01E+01,Alternate order length,2,1.40E-01,% adult mass,2,m^2.5 per pred per day,1613,200,0.13,62.48,9.33E-04,3.04E-04,2.42E-03,1.22E-01,2.68E-08,5.23E-01,500 mL jar used as arena
1614,Provencher and Coderre 1987 ENVIRON ENTOMOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Clubiona pikei,Wild caught juvenile,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Bird cherry-oat aphid,Rhopalosiphum padi,Apterous immature,2.0,Raw data,N,24,22.0,,1,,5.00E+02,1.01E+01,Alternate order length,2,1.63E-01,% adult mass,1,m^2.5 per pred per day,1614,200,0.40,40.87,4.24E-04,2.39E-04,1.82E-03,7.66E-09,1.13E-09,5.52E-01,"1 Rhopalosiphum maidis present for every 4 Rhopalosiphum padi, 500 mL jar used as arena"
1615,Provencher and Coderre 1987 ENVIRON ENTOMOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Clubiona pikei,Wild caught juvenile,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Corn leaf aphid,Rhopalosiphum maidis,Apterous immature,2.0,Raw data,N,24,22.0,,1,,5.00E+02,1.01E+01,Alternate order length,2,1.40E-01,% adult mass,2,m^2.5 per pred per day,1615,200,0.36,1.91,4.65E-04,2.74E-04,1.21E-03,8.65E-08,4.09E-09,1.15E+00,"4 Rhopalosiphum padi present for every 1 Rhopalosiphum maidis, 500 mL jar used as arena"
1616,Provencher and Coderre 1987 ENVIRON ENTOMOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Clubiona pikei,Wild caught juvenile,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Bird cherry-oat aphid,Rhopalosiphum padi,Apterous immature,2.0,Raw data,N,24,22.0,,1,,5.00E+02,1.01E+01,Alternate order length,2,1.63E-01,% adult mass,1,m^2.5 per pred per day,1616,200,0.26,-2.50,4.37E-04,1.81E-04,1.55E-03,1.52E-01,1.47E-08,1.86E+00,"4 Rhopalosiphum maidis present for every 1 Rhopalosiphum padi, 500 mL jar used as arena"
1617,Provencher and Coderre 1987 ENVIRON ENTOMOL,Predator,2.50,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Spider,Clubiona pikei,Wild caught juvenile,3.0,Metazoan,Invertebrate,Insect,Hemiptera,Corn leaf aphid,Rhopalosiphum maidis,Apterous immature,2.0,Raw data,N,24,22.0,,1,,5.00E+02,1.01E+01,Alternate order length,2,1.40E-01,% adult mass,2,m^2.5 per pred per day,1617,200,0.48,70.76,7.06E-04,4.03E-04,1.11E-03,2.58E-09,6.90E-10,1.73E-01,"1 Rhopalosiphum padi present for every 4 Rhopalosiphum maidis, 500 mL jar used as arena"
